City,Country,Latitude,Temperature,Humidity,Cloudiness,Windspeed,Date
mezen,RU,65.8522,48.2,90,100,13.82,1665253323
saint george,US,37.1041,81.43,31,0,3.44,1665253324
kruisfontein,ZA,-34.0033,60.89,72,64,5.32,1665253324
burgersdorp,ZA,-30.9977,73.33,17,61,6.78,1665253325
rio gallegos,AR,-51.6226,55.45,35,40,27.63,1665253315
new norfolk,AU,-42.7826,39.7,74,23,1.01,1665253325
calmar,CA,53.2668,63.9,48,40,6.91,1665253073
esperance,AU,-33.8667,56.71,49,7,11.05,1665253325
souillac,MU,-20.5167,71.98,68,75,13.8,1665253325
qaanaaq,GL,77.484,7.86,67,78,10.11,1665253325
san quintin,MX,30.4833,74.55,68,2,8.72,1665253325
pacific grove,US,36.6177,71.38,88,100,0.0,1665253325
kurtamysh,RU,54.9103,44.37,85,100,12.01,1665253326
umarkot,PK,25.3616,89.51,19,2,12.15,1665253326
bambous virieux,MU,-20.3428,71.85,68,75,13.8,1665253326
kapaa,US,22.0752,78.78,87,100,4.61,1665253326
cape town,ZA,-33.9258,62.28,76,20,23.02,1665253199
albany,US,42.6001,53.94,54,4,1.01,1665253327
kiama,AU,-34.6833,52.0,92,100,5.99,1665253327
bustamante,MX,26.5333,78.89,47,64,6.44,1665253328
takoradi,GH,4.8845,77.32,83,100,7.31,1665253328
linxia,CN,35.6003,35.46,51,89,0.36,1665253328
barrow,US,71.2906,24.82,86,0,10.36,1665253329
goshen,US,41.5823,54.73,49,75,18.41,1665253329
mogadishu,SO,2.0371,77.32,85,28,16.64,1665253329
ribeira grande,PT,38.5167,73.8,83,75,11.5,1665253329
lebu,CL,-37.6167,51.28,57,4,20.27,1665253329
sal rei,CV,16.1833,82.6,69,40,13.8,1665253330
lompoc,US,34.6391,69.85,96,100,6.91,1665253330
east london,ZA,-33.0153,68.94,88,0,4.61,1665253330
dikson,RU,73.5069,32.4,84,96,7.29,1665253331
khatanga,RU,71.9667,15.94,96,91,3.76,1665253332
dingle,PH,10.9995,76.21,92,99,5.93,1665253332
petropavlovsk-kamchatskiy,RU,53.0452,28.99,86,0,4.47,1665253332
bathsheba,BB,13.2167,86.61,70,20,18.41,1665253332
ilulissat,GL,69.2167,30.22,74,75,6.91,1665253332
coolum beach,AU,-26.5333,70.11,93,80,7.76,1665253142
jalu,LY,29.0331,73.72,39,0,9.37,1665253333
punta arenas,CL,-53.15,48.31,61,75,26.46,1665253076
coihaique,CL,-45.5752,48.15,40,100,11.5,1665253333
sioux lookout,CA,50.1001,51.87,50,75,13.8,1665253333
cidreira,BR,-30.1811,71.71,57,16,10.83,1665253333
kodiak,US,57.79,53.11,87,100,0.0,1665253335
vaini,TO,-21.2,69.96,94,100,13.8,1665253335
acapulco,MX,16.8634,85.82,74,0,4.61,1665253335
nha trang,VN,12.25,75.2,89,100,5.01,1665253336
guayaquil,EC,-2.1667,82.36,57,75,10.36,1665253336
thompson,CA,55.7435,41.16,70,75,4.61,1665253336
sarahan,IN,31.5167,56.12,89,99,2.01,1665253337
cozumel,MX,20.5083,89.67,73,40,16.11,1665253338
airai,TL,-8.9266,61.92,83,96,2.91,1665253338
dongkan,CN,33.9997,59.25,71,100,6.35,1665253338
hervey bay,AU,-25.2986,70.02,89,18,5.01,1665253338
vila franca do campo,PT,37.7167,75.2,84,100,5.75,1665253339
beloha,MG,-25.1667,75.34,59,0,6.11,1665253339
bukama,CD,-9.2,80.94,19,36,1.68,1665253339
port lincoln,AU,-34.7333,48.96,79,17,3.74,1665253340
kaeo,NZ,-35.1,55.33,86,97,10.94,1665253340
constitucion,CL,-35.3333,58.51,42,0,18.52,1665253340
mount pleasant,US,32.7941,83.08,69,0,8.05,1665253340
grand gaube,MU,-20.0064,72.0,64,28,8.01,1665253340
srednekolymsk,RU,67.45,19.08,80,97,12.59,1665253306
bani walid,LY,31.7566,74.75,37,0,8.14,1665253341
berlevag,NO,70.8578,42.8,81,100,9.22,1665253341
prince rupert,CA,54.3161,49.69,98,100,3.44,1665253341
ponta do sol,PT,32.6667,74.71,78,20,4.72,1665253341
buraydah,SA,26.326,82.85,10,0,3.83,1665253342
san patricio,US,28.017,91.35,35,8,9.04,1665253342
half moon bay,US,37.4636,78.48,87,100,4.61,1665253342
goksun,TR,38.021,53.78,83,6,4.72,1665253131
ingham,US,42.6,51.91,58,20,17.67,1665253343
artigas,UY,-30.4,77.79,43,83,15.61,1665253344
pomezeu,RO,46.7833,58.87,75,100,2.68,1665253344
skoghall,SE,59.3232,45.16,70,15,5.75,1665253344
rexburg,US,43.826,65.43,34,0,0.0,1665253345
lashma,RU,54.9321,47.7,88,43,7.7,1665253345
leningradskiy,RU,69.3833,17.13,75,48,11.27,1665253345
tucuman,AR,-26.8241,89.6,18,0,16.11,1665253345
sungaipenuh,ID,-2.0833,63.64,84,100,1.5,1665253346
catuday,PH,16.2923,79.54,78,16,7.87,1665253346
severo-kurilsk,RU,50.6789,42.91,74,100,7.76,1665253346
soyo,AO,-6.1349,76.75,84,66,12.1,1665253348
sobolevo,RU,54.4299,49.59,79,90,12.24,1665253349
wladyslawowo,PL,54.7909,53.15,85,96,16.11,1665253349
jamestown,US,42.097,49.05,50,75,14.97,1665253349
minot,US,48.2325,66.42,37,0,12.66,1665253349
iqaluit,CA,63.7506,33.53,80,100,13.8,1665253150
castro,BR,-24.7911,71.65,45,0,7.07,1665253110
clyde river,CA,70.4692,21.43,73,75,6.91,1665253350
sao joao da barra,BR,-21.6403,78.89,73,57,17.69,1665253351
tiznit,MA,29.5833,78.85,39,100,3.38,1665253351
katsuura,JP,35.1333,66.69,72,72,13.02,1665253351
praxedis guerrero,MX,31.3667,67.46,36,72,18.21,1665253352
cabo san lucas,MX,22.8909,92.61,42,0,9.22,1665253111
hamilton,US,39.1834,58.75,49,40,9.22,1665253352
farah,AF,32.5,61.11,9,0,1.92,1665253352
avarua,CK,-21.2078,73.45,68,75,5.75,1665253352
saint-philippe,RE,-21.3585,71.19,78,26,12.77,1665253353
itoman,JP,26.1247,77.02,78,100,4.61,1665253353
goderich,CA,43.7501,51.91,57,94,16.11,1665253353
garowe,SO,8.4054,83.55,47,29,22.46,1665253354
saskylakh,RU,71.9167,19.06,97,95,2.95,1665253354
cervo,ES,43.6702,63.97,88,43,13.71,1665253355
quang ngai,VN,15.1167,75.34,92,100,5.82,1665253355
kushalgarh,IN,23.199,73.56,99,100,5.95,1665253355
channel-port aux basques,CA,47.5702,54.81,93,100,15.23,1665253355
nhulunbuy,AU,-12.2333,79.41,89,75,4.61,1665253356
paamiut,GL,61.994,34.84,67,11,13.15,1665253356
laguna,US,38.421,90.18,49,0,1.01,1665253356
cherskiy,RU,68.75,20.44,91,100,21.63,1665253356
norman wells,CA,65.282,44.64,81,75,5.75,1665253356
narsaq,GL,60.9167,37.62,62,1,3.31,1665253357
chokurdakh,RU,70.6333,21.51,90,100,19.89,1665253357
tel aviv-yafo,IL,32.0805,75.38,61,20,3.44,1665253330
upernavik,GL,72.7868,23.09,92,100,8.99,1665253357
thinadhoo,MV,0.5333,81.03,78,13,13.42,1665253357
osmena,PH,10.5208,82.44,77,92,5.99,1665253357
calvinia,ZA,-31.4707,71.94,17,2,6.04,1665253358
exeter,GB,50.7236,55.47,80,20,5.75,1665253288
palana,RU,59.1167,25.75,84,90,10.38,1665253358
carnarvon,AU,-24.8667,67.03,69,69,15.88,1665253358
mabaruma,GY,8.2,89.91,54,53,7.7,1665253358
georgetown,MY,5.4112,82.24,89,20,0.0,1665253297
igarka,RU,67.4667,33.73,100,100,6.13,1665253359
ambilobe,MG,-13.2,71.01,68,13,6.11,1665253359
labuhan,ID,-6.8844,78.73,85,100,12.06,1665253359
olafsvik,IS,64.8945,44.47,75,73,11.25,1665253359
denia,ES,38.8408,71.74,85,57,5.01,1665253359
luderitz,NA,-26.6481,61.48,80,22,12.39,1665253359
plastun,RU,44.7561,38.75,68,4,4.88,1665253359
machilipatnam,IN,16.1667,79.11,86,100,7.81,1665253091
aripuana,BR,-9.1667,94.95,35,74,3.87,1665253359
arraial do cabo,BR,-22.9661,75.06,73,75,6.91,1665253360
alice springs,AU,-23.7,51.35,46,0,6.91,1665253168
batagay-alyta,RU,67.8006,18.01,80,100,6.13,1665253360
belen,TR,36.4891,62.74,56,40,0.0,1665253360
siguiri,GN,11.6667,81.93,72,52,4.12,1665253360
bethel,US,41.3712,59.54,55,40,4.61,1665253361
odweyne,SO,9.4092,76.06,57,62,10.54,1665253361
talnakh,RU,69.4865,26.82,92,99,5.5,1665253361
bredasdorp,ZA,-34.5322,55.92,87,97,3.27,1665253362
hofn,IS,64.2539,42.48,87,100,6.04,1665253362
khorixas,NA,-20.3667,69.22,52,5,11.61,1665253209
beringovskiy,RU,63.05,28.4,65,16,9.28,1665253362
jennings,US,38.7192,61.99,45,20,5.75,1665253362
hobyo,SO,5.3505,77.72,85,91,21.94,1665253362
shenzhen,CN,22.5455,81.07,84,40,4.29,1665253362
puerto escondido,MX,15.85,85.03,65,20,4.61,1665253362
asfi,MA,32.2994,71.89,80,25,16.89,1665253362
saint-pierre,RE,-21.3393,71.28,73,0,14.97,1665253178
makhinjauri,GE,41.6739,66.06,94,40,6.91,1665253363
jaumave,MX,23.4167,71.37,76,99,3.15,1665253363
yulara,AU,-25.2406,57.65,32,0,13.11,1665253363
dunedin,NZ,-45.8742,44.56,74,78,4.85,1665253364
golden,US,39.7555,62.92,54,20,7.0,1665253364
faanui,PF,-16.4833,78.08,76,13,18.79,1665253364
pevek,RU,69.7008,26.15,65,100,26.87,1665253364
guadalupe y calvo,MX,26.1,66.4,34,15,6.06,1665253364
urumqi,CN,43.801,59.95,17,0,13.42,1665253365
hongjiang,CN,27.11,56.61,92,100,3.98,1665253365
bratsk,RU,56.1325,36.09,78,70,7.34,1665253166
chiang kham,TH,19.5233,70.9,94,19,1.39,1665253365
harrismith,ZA,-28.2728,68.88,28,3,1.63,1665253365
socorro,US,31.6546,70.81,53,75,13.8,1665253365
san policarpo,PH,12.1791,80.91,80,5,9.8,1665253365
tabou,CI,4.423,77.4,88,64,9.35,1665253365
edd,ER,13.9297,89.01,64,21,9.71,1665253366
touros,BR,-5.1989,83.48,65,3,17.47,1665253366
akonolinga,CM,3.7667,68.25,97,89,2.44,1665253076
mogocha,RU,53.7333,24.91,86,19,1.57,1665253367
ouargaye,BF,11.5033,83.07,65,93,6.55,1665253367
yarada,IN,17.65,79.12,94,75,2.3,1665253367
chuy,UY,-33.6971,72.84,52,87,15.37,1665253367
mehamn,NO,71.0357,42.75,93,75,8.05,1665253367
ostrovnoy,RU,68.0531,44.76,87,94,20.13,1665253368
torbay,CA,47.6666,55.76,95,100,5.75,1665253368
caravelas,BR,-17.7125,82.35,65,94,13.29,1665253368
jiaojiang,CN,28.6803,64.99,84,95,3.8,1665253368
ancud,CL,-41.8697,51.55,58,10,14.97,1665253368
margate,GB,51.3813,54.7,75,4,4.45,1665253346
cedral,MX,23.8,67.23,61,98,7.52,1665253369
nykoping,SE,58.753,49.86,87,0,9.22,1665253131
muncar,ID,-8.4333,77.32,89,78,2.91,1665253371
kaitangata,NZ,-46.2817,40.64,86,96,5.59,1665253371
kangundo,KE,-1.2979,68.34,46,96,12.97,1665253371
uvira,CD,-3.4067,77.31,48,100,2.86,1665253371
campobasso,IT,41.6333,62.94,74,85,2.62,1665253371
zalantun,CN,48.0,35.06,63,81,11.52,1665253371
sur,OM,22.5667,81.18,63,0,4.79,1665253371
makat,KZ,47.6469,59.36,48,82,7.38,1665253371
cockburn town,TC,21.4612,87.76,62,40,17.27,1665253372
nicoya,CR,10.1483,84.6,67,99,4.36,1665253372
skjervoy,NO,70.0311,41.0,83,93,11.43,1665253372
nizhneangarsk,RU,55.7833,30.09,77,98,1.21,1665253372
kirakira,SB,-10.4544,78.37,80,40,7.45,1665253372
camacupa,AO,-12.0167,73.0,26,58,1.81,1665253372
constantine,DZ,36.365,72.81,56,75,10.36,1665253372
hasaki,JP,35.7333,59.4,59,80,16.55,1665253373
meulaboh,ID,4.1363,77.32,85,100,4.29,1665253373
nikolskoye,RU,59.7035,54.91,74,100,12.48,1665253373
elko,US,41.0002,69.06,25,86,3.0,1665253373
bengkulu,ID,-3.8004,76.1,86,96,3.18,1665253373
klaksvik,FO,62.2266,49.12,90,100,28.3,1665253212
port hardy,CA,50.6996,53.78,100,100,3.44,1665253373
arlit,NE,18.7369,95.4,12,0,8.25,1665253374
djambala,CG,-2.5447,70.02,86,60,1.63,1665253374
mier,MX,26.4333,83.01,45,89,2.13,1665253374
jumla,NP,29.2747,55.71,96,100,3.15,1665253374
menongue,AO,-14.6585,73.09,15,4,5.14,1665253374
okha,RU,53.5739,32.58,86,67,8.9,1665253374
palembang,ID,-2.9167,75.29,94,40,0.0,1665253125
conceicao do araguaia,BR,-8.2578,104.31,19,57,6.33,1665253374
sorland,NO,67.667,44.46,71,97,28.01,1665253374
porto torres,IT,40.835,68.18,75,95,4.52,1665253318
kieta,PG,-6.2167,77.27,78,87,4.92,1665253374
ispravnaya,RU,44.0682,55.78,90,96,3.42,1665253375
tuktoyaktuk,CA,69.4541,33.8,86,75,9.22,1665253375
nanakuli,US,21.3906,81.43,67,40,5.75,1665253375
lodi,US,38.1302,87.37,57,0,3.4,1665253375
chapais,CA,49.7834,31.78,94,100,12.12,1665253375
kahului,US,20.8947,82.42,80,40,10.36,1665253375
turukhansk,RU,65.8167,35.87,100,100,7.43,1665253375
huarmey,PE,-10.0681,69.37,69,58,13.35,1665253376
weston,US,26.1004,86.02,81,100,16.11,1665253376
opuwo,NA,-18.0607,76.96,33,2,5.53,1665253377
sechura,PE,-5.5569,77.11,56,67,14.61,1665253377
iwanai,JP,42.9744,43.43,83,52,3.74,1665253377
hurghada,EG,27.2574,78.42,46,0,24.14,1665253242
sakaiminato,JP,35.55,53.58,94,75,3.44,1665253377
kontagora,NG,10.3999,79.41,73,92,0.63,1665253377
asau,RO,46.4333,52.72,76,88,2.17,1665253377
tual,ID,-5.6667,83.16,79,63,15.26,1665253378
broken hill,AU,-31.95,47.86,65,0,10.69,1665253378
vanavara,RU,60.34,33.8,82,100,9.69,1665253379
plettenberg bay,ZA,-34.0527,60.37,83,64,4.97,1665253380
kwekwe,ZW,-18.9281,76.66,20,1,12.91,1665253381
lasa,IT,46.6166,63.48,91,94,2.57,1665253381
saldanha,ZA,-33.0117,59.05,82,27,24.61,1665253382
agadez,NE,19.75,84.51,17,0,9.33,1665253382
longyearbyen,SJ,78.2186,37.24,87,75,5.75,1665253304
bardiyah,LY,31.7561,72.09,58,69,10.58,1665253382
hashtgerd,IR,35.9642,64.24,27,0,5.14,1665253383
faya,SA,18.3851,69.91,35,14,3.74,1665253383
aklavik,CA,68.2191,39.2,60,75,5.75,1665253383
kitgum,UG,3.2783,67.59,92,97,4.45,1665253384
dickinson,US,29.4608,88.14,58,0,13.8,1665253384
uva,RU,56.9908,46.81,87,100,5.93,1665253385
ewa beach,US,21.3156,81.41,68,40,5.75,1665253385
ixtapa,MX,20.7,87.22,62,0,4.61,1665253385
viedma,AR,-40.8135,53.74,33,30,27.94,1665253221
gravelbourg,CA,49.8834,64.67,39,100,8.37,1665253385
vostochnyy,RU,55.8167,53.78,73,80,10.31,1665253386
nazret,ET,8.55,63.99,57,41,4.25,1665253386
dawei,MM,14.0833,76.17,93,98,2.17,1665253386
gobabis,NA,-22.45,77.54,12,0,14.16,1665253387
tuatapere,NZ,-46.1333,45.68,80,76,8.61,1665253387
cap malheureux,MU,-19.9842,71.47,64,26,8.01,1665253387
portland,US,45.5234,76.98,67,0,5.75,1665253387
sinnamary,GF,5.3833,86.04,63,14,12.21,1665253387
novomikhaylovskiy,RU,44.2581,64.62,77,98,9.93,1665253387
pacocha,PE,-17.5833,64.54,59,0,11.5,1665253388
meshcherino,RU,55.1957,50.45,83,76,10.47,1665253388
lorengau,PG,-2.0226,80.17,74,32,8.14,1665253388
la ronge,CA,55.1001,61.02,51,20,9.22,1665253388
aswan,EG,24.0934,85.37,20,3,18.07,1665253389
ahipara,NZ,-35.1667,52.92,87,69,8.16,1665253389
nefteyugansk,RU,61.0998,44.8,89,85,7.85,1665253390
shenjiamen,CN,29.9576,65.57,72,100,10.33,1665253390
banjarmasin,ID,-3.3244,75.34,94,97,1.1,1665253390
teluknaga,ID,-6.0989,81.63,94,20,4.61,1665253390
lehututu,BW,-23.9667,81.14,14,18,11.7,1665253390
fortuna,US,40.5982,74.01,49,9,4.72,1665253391
zhangye,CN,38.9342,36.91,33,1,4.85,1665253391
ekibastuz,KZ,51.6667,53.92,32,55,9.4,1665253391
ankpa,NG,7.3706,72.41,95,79,2.59,1665253391
lago da pedra,BR,-4.3333,103.26,23,73,5.53,1665253391
bud,US,39.447,57.15,48,2,7.2,1665253391
pochutla,MX,15.7432,87.82,62,35,5.97,1665253392
itarema,BR,-2.9248,84.81,63,12,18.59,1665253392
kadoma,JP,34.7333,60.78,74,54,1.14,1665253392
nauta,PE,-4.5061,81.37,69,100,3.2,1665253392
gold coast,AU,-28.0,69.24,96,75,9.22,1665253392
requena,ES,39.4883,62.8,83,89,8.48,1665253394
hearst,CA,49.6835,39.45,67,99,9.22,1665253394
san cristobal,VE,7.7669,82.58,46,80,8.55,1665253394
biscarrosse,FR,44.3945,67.95,42,0,4.61,1665253187
sambava,MG,-14.2667,71.69,77,40,14.56,1665253394
katubao,PH,5.8892,79.92,83,95,1.25,1665253395
shiraoi,JP,42.55,43.21,71,75,4.63,1665253396
beira,MZ,-19.8436,75.69,80,0,10.18,1665253396
hot springs,US,34.5037,72.32,31,0,4.61,1665253396
nuuk,GL,64.1835,32.61,80,75,4.61,1665253203
antalaha,MG,-14.9003,68.31,82,48,8.68,1665253396
vila velha,BR,-20.3297,78.75,78,40,11.5,1665253396
weligama,LK,5.9667,77.25,89,25,8.32,1665253396
vestmannaeyjar,IS,63.4427,45.59,81,20,5.75,1665253397
buza,RO,46.9,53.85,70,89,0.13,1665253397
tutoia,BR,-2.7619,83.86,68,15,14.58,1665253398
mayskiy,RU,47.6931,60.21,63,100,15.23,1665253398
villaviciosa,ES,43.4813,65.61,88,47,7.45,1665253398
severo-yeniseyskiy,RU,60.3725,36.72,77,100,10.76,1665253399
mafinga,TZ,-7.25,74.08,40,27,12.15,1665253399
port macquarie,AU,-31.4333,66.09,94,100,11.5,1665253399
anadyr,RU,64.75,18.1,86,0,6.71,1665253267
pauini,BR,-7.7136,99.86,27,100,4.25,1665253399
marzuq,YE,14.4,75.7,44,17,4.81,1665253399
soligalich,RU,59.0778,49.62,84,100,11.72,1665253400
pucallpa,PE,-8.3791,84.24,65,40,0.0,1665253400
salalah,OM,17.0151,80.69,83,75,3.44,1665253169
palmer,US,42.1584,58.51,47,20,12.66,1665253400
stutterheim,ZA,-32.5708,62.53,68,59,1.74,1665253400
canavieiras,BR,-15.675,84.16,69,73,10.96,1665253400
barra do garcas,BR,-15.89,93.78,40,40,9.22,1665253401
roanoke rapids,US,36.4615,62.29,58,100,9.22,1665253401
vao,NC,-22.6667,72.75,80,19,21.05,1665253401
udachnyy,RU,66.4167,24.73,94,100,5.55,1665253401
suntar,RU,62.1444,31.96,83,100,9.04,1665253401
tasiilaq,GL,65.6145,33.96,96,100,5.19,1665253401
port elizabeth,ZA,-33.918,64.69,87,0,14.97,1665253402
luanda,AO,-8.8368,77.0,83,40,9.22,1665253298
iracoubo,GF,5.4802,85.14,67,8,12.93,1665253402
baykit,RU,61.67,37.38,81,100,8.61,1665253402
reconquista,AR,-29.15,82.72,28,23,16.2,1665253402
zemio,CF,5.0314,69.39,93,74,2.68,1665253402
kindu,CD,-2.95,71.13,92,95,1.48,1665253403
provideniya,RU,64.3833,31.5,67,22,6.87,1665253403
hastings,GB,50.8552,57.52,77,8,8.48,1665253353
novopokrovskaya,RU,45.9514,63.25,48,43,20.4,1665253404
dutlwe,BW,-23.9833,80.01,19,0,11.43,1665253404
poso,ID,-1.3959,76.75,87,96,4.38,1665253404
yerbogachen,RU,61.2767,32.72,85,100,11.81,1665253404
lieksa,FI,63.3167,48.81,86,81,16.44,1665253404
harper,LR,4.375,77.67,88,67,9.28,1665253404
khomutovka,RU,51.9207,48.43,78,28,6.98,1665253405
kenai,US,60.5544,48.15,98,100,3.44,1665253405
alihe,CN,50.5667,25.7,62,45,3.31,1665253405
mount isa,AU,-20.7333,64.17,36,9,13.8,1665253335
sabaudia,IT,41.3003,68.47,90,61,1.92,1665253198
masindi,UG,1.6744,62.96,95,100,1.81,1665253406
ahuimanu,US,21.4447,81.18,73,40,3.44,1665253406
isangel,VU,-19.55,75.65,80,44,17.67,1665253406
malanville,BJ,11.8685,84.15,57,92,7.52,1665253406
kavaratti,IN,10.5669,81.28,75,27,7.74,1665253406
ambon,ID,-3.6954,77.14,94,40,5.75,1665253299
yeppoon,AU,-23.1333,71.38,89,23,4.0,1665253407
road town,VG,18.4167,87.89,70,40,11.5,1665253407
zenzeli,RU,45.9241,58.62,66,6,13.06,1665253407
zhigansk,RU,66.7697,27.39,97,100,10.67,1665253407
kautokeino,NO,69.0125,34.92,92,98,0.83,1665253408
stawell,AU,-37.05,36.09,92,3,4.21,1665253408
byron bay,AU,-28.65,64.94,92,100,15.43,1665253408
hellevoetsluis,NL,51.8333,55.99,74,8,7.4,1665253225
hambantota,LK,6.1241,79.14,89,20,2.3,1665253409
quelimane,MZ,-17.8786,76.95,83,20,5.75,1665253409
fairview,US,40.8126,60.24,50,40,12.66,1665253409
baruun-urt,MN,46.6806,26.24,77,21,9.75,1665253367
abbeville,FR,50.1,51.49,74,4,3.36,1665253410
mount gambier,AU,-37.8333,37.31,100,40,3.44,1665253410
robat karim,IR,35.4846,71.46,30,0,0.0,1665253410
neiafu,TO,-18.65,72.28,94,100,13.8,1665253410
coahuayana,MX,18.7333,89.6,53,0,3.18,1665253410
luau,AO,-10.7073,74.61,18,36,3.24,1665253411
port hawkesbury,CA,45.6169,63.52,84,100,13.8,1665253411
kaniama,CD,-7.5667,73.62,59,54,4.9,1665253411
tateyama,JP,34.9833,63.1,74,57,14.65,1665253411
ampanihy,MG,-24.7,78.98,41,0,4.29,1665253412
nikolayevsk-na-amure,RU,53.1406,30.04,83,97,3.0,1665253412
businga,CD,3.3333,71.96,94,69,1.61,1665253412
daund,IN,18.4667,72.84,89,98,5.79,1665253412
flin flon,CA,54.7682,55.24,67,75,0.0,1665253413
padang,ID,-0.9492,77.32,77,100,3.02,1665253300
tura,IN,25.5198,73.08,94,25,1.66,1665253413
moree,AU,-29.4667,53.62,87,100,17.27,1665253413
bereda,ES,43.2686,62.58,97,8,5.3,1665253413
lewistown,US,40.5992,56.25,54,100,11.5,1665253414
gargzdai,LT,55.7128,55.18,88,100,11.21,1665253311
kupino,RU,54.3663,53.19,62,98,6.35,1665253414
westport,US,41.1415,61.16,52,0,11.5,1665253313
baoshan,CN,46.5586,43.32,65,100,2.66,1665253414
santa marta,CO,11.2408,87.89,70,75,6.91,1665253414
hammerfest,NO,70.6634,41.45,100,40,6.91,1665253415
raudeberg,NO,61.9875,47.07,11,98,18.03,1665253415
bischofshofen,AT,47.4167,61.54,98,90,3.91,1665253415
korla,CN,41.7597,62.6,29,100,5.84,1665253415
monrovia,LR,6.3005,83.97,81,49,7.02,1665253415
manohar thana,IN,24.24,74.62,92,100,9.4,1665253415
marquette,US,46.5333,57.78,43,76,13.15,1665253415
nongan,CN,44.382,46.36,92,100,3.11,1665253415
bodrum,TR,37.0383,71.53,64,3,15.08,1665253416
denpasar,ID,-8.65,80.26,100,75,12.66,1665253416
naze,JP,28.3667,76.12,82,86,6.35,1665253416
tekari,IN,24.9333,79.02,79,12,4.12,1665253416
nalut,LY,30.3333,77.0,24,5,6.29,1665253416
sibolga,ID,1.7427,76.33,89,100,2.77,1665253417
kuching,MY,1.55,75.42,94,40,3.0,1665253295
hami,CN,42.8,52.66,14,0,14.41,1665253417
terrace,CA,54.5163,51.71,93,100,6.91,1665253417
port hueneme,US,34.1478,89.13,83,100,6.91,1665253417
fort nelson,CA,58.8053,49.59,57,75,4.61,1665253417
keningau,MY,5.3378,71.73,99,90,0.94,1665253417
stokmarknes,NO,68.5646,46.38,76,75,11.5,1665253418
jacareacanga,BR,-6.2222,98.67,29,65,2.24,1665253418
gat,IL,31.61,74.08,65,11,6.17,1665253418
ewo,CG,-0.8725,75.6,83,55,4.25,1665253418
tahlequah,US,35.9154,73.62,21,75,4.61,1665253419
dehloran,IR,32.6941,90.54,10,0,5.61,1665253419
san andres,CO,12.5847,82.42,83,75,14.97,1665253419
brae,GB,60.3964,51.04,82,93,16.73,1665253419
mahebourg,MU,-20.4081,71.89,68,75,13.8,1665253419
joshimath,IN,30.5667,61.38,95,100,2.35,1665253420
sabla,NG,12.7525,88.45,41,91,5.68,1665253420
yumen,CN,40.2833,34.93,33,0,13.8,1665253420
hohhot,CN,40.8106,32.29,64,20,8.95,1665253420
gurkovo,BG,42.6667,55.9,69,5,4.16,1665253420
fraserburgh,GB,57.6874,53.11,74,81,11.21,1665253420
machiques,VE,10.0644,86.67,66,99,3.51,1665253421
bosanski novi,BA,45.0458,59.0,81,100,0.94,1665253421
mnogovershinnyy,RU,53.9353,24.39,77,99,4.54,1665253421
dobson,US,36.3957,66.81,45,0,5.75,1665253421
awbari,LY,26.5921,78.31,28,0,8.28,1665253421
storforshei,NO,66.4043,43.66,93,100,0.0,1665253421
belyy yar,RU,53.6039,32.86,85,99,0.0,1665253421
